"Kod";"Nazwa";"ogółem;obiekty ogółem lipiec;2013;[ob.]";"ogółem;obiekty ogółem lipiec;2014;[ob.]";"ogółem;obiekty ogółem lipiec;2015;[ob.]";"ogółem;obiekty ogółem lipiec;2016;[ob.]";"ogółem;obiekty ogółem lipiec;2017;[ob.]";"ogółem;obiekty ogółem lipiec;2018;[ob.]";"ogółem;obiekty ogółem lipiec;2019;[ob.]";"ogółem;obiekty ogółem lipiec;2020;[ob.]";"ogółem;obiekty ogółem lipiec;2021;[ob.]";"ogółem;obiekty ogółem lipiec;2022;[ob.]";"ogółem;obiekty ogółem lipiec;2023;[ob.]";"ogółem;obiekty ogółem lipiec;2024;[ob.]";"ogółem;miejsca noclegowe ogółem lipiec;2013;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2014;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2015;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2016;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2017;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2018;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2019;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2020;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2021;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2022;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2023;[msc.]";"ogółem;miejsca noclegowe ogółem lipiec;2024;[msc.]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2013;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2014;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2015;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2016;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2017;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2018;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2019;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2020;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2021;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2022;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2023;[osoba]";"ogółem;turyści (korzystający) ogółem styczeń-grudzień;2024;[osoba]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2013;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2014;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2015;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2016;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2017;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2018;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2019;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2020;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2021;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2022;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2023;[-]";"ogółem;udzielone noclegi ogółem styczeń-grudzień;2024;[-]";
0664000;"Powiat m. Zamość";15;16;17;17;19;22;24;21;23;24;21;23;1070;1193;1515;1493;1556;1698;1725;1353;1582;1720;1590;1553;50667;48943;59011;62636;63305;65690;70035;46593;52293;74405;70342;67256;85094;86774;103233;107846;109451;113636;116806;85792;95582;128555;121813;115801;
0801000;"Powiat gorzowski";14;14;12;13;11;14;16;13;14;14;15;16;756;742;680;695;543;639;658;591;632;634;723;669;34370;37014;38226;30877;25691;26979;24463;13203;16272;26753;30044;31488;55251;58634;64641;51656;44512;43805;43085;28535;40300;52737;56061;56511;
0802000;"Powiat krośnieński";20;15;15;17;16;12;11;12;10;11;8;9;1074;897;715;854;897;711;722;810;704;803;493;635;17165;16099;18434;22888;21168;23422;23122;13423;10519;16599;9847;11410;47739;55758;49759;65219;59871;68457;61337;41743;35402;47050;32569;31443;
0803000;"Powiat międzyrzecki";41;35;38;38;37;39;40;35;34;33;32;31;2605;2262;2412;2474;2156;2311;2452;2126;2048;1940;1694;2005;36138;35606;37214;41849;43675;45186;50424;29628;39561;42445;46412;48795;91268;91969;116036;109710;101633;104351;130392;78870;102569;108912;101764;108586;
0804000;"Powiat nowosolski";12;13;12;13;10;10;10;10;10;10;10;13;646;671;737;716;413;515;521;546;642;675;725;800;30884;16436;17294;23166;14048;11411;12500;8634;12266;17974;37644;43758;49805;34763;33351;49636;29158;25656;24400;18102;24926;34451;63455;74348;
0805000;"Powiat słubicki";27;28;31;34;33;31;29;27;26;24;24;25;1663;1689;1851;1939;1826;1795;1814;1520;1517;1616;1595;1631;87847;79582;94603;113544;125680;135692;145289;76499;92474;133506;132267;125909;142244;132963;151112;187383;204209;242740;255507;155880;240195;300259;267940;230484;
0806000;"Powiat strzelecko-drezdenecki";22;21;20;21;20;19;17;16;18;16;15;17;1524;1426;1557;1591;1469;1527;1405;1205;1335;908;1097;1275;26645;27699;28531;33146;33660;32984;32546;21710;24663;32276;27320;34219;105131;110949;119602;131536;111830;128522;104556;69975;74554;75814;94936;122132;
0807000;"Powiat sulęciński";29;26;26;28;25;26;25;24;23;24;24;24;1536;1473;1463;1631;1527;1230;1507;1349;1415;1475;1476;1523;59384;60429;61985;62291;60616;49194;55967;30973;35714;53546;50029;61216;85982;94838;105256;114835;121642;83937;93746;57811;78684;113282;87137;108137;
0808000;"Powiat świebodziński";39;40;39;43;38;38;39;38;31;31;30;29;3076;3314;3288;3412;3332;3368;3720;3305;2886;2903;2407;2921;101684;108638;102687;98731;99206;107443;113663;54722;52277;75016;90991;99414;204259;222657;230068;239048;217744;240769;238106;142132;156896;186850;199788;236988;
0809000;"Powiat zielonogórski";18;16;14;15;16;19;19;18;17;17;17;18;815;783;645;676;831;836;869;845;762;808;783;856;30307;23841;23057;20574;26600;31547;29834;18973;28149;32933;30938;31050;56079;45873;43798;44774;55521;56716;53620;36359;56047;62156;50142;50377;
0810000;"Powiat żagański";6;7;6;7;6;6;7;7;6;5;5;5;248;346;270;349;278;272;292;292;272;223;142;156;23277;21750;23669;27389;29803;28372;27848;15510;18568;21661;9758;11203;35469;32493;35337;42835;43206;40372;39267;21049;27814;30407;18570;20844;
0811000;"Powiat żarski";15;14;14;11;13;16;15;13;12;12;14;17;543;506;523;316;434;627;638;523;503;504;449;642;21929;24799;19707;16891;18879;25957;27527;13782;13770;19214;21046;33647;35817;37256;31433;27189;29247;45076;52249;29748;26248;38666;54299;69580;
0812000;"Powiat wschowski";28;25;27;27;27;27;29;29;27;26;25;23;2728;2312;2538;2603;2589;2551;2878;2767;2515;2507;2232;2515;30471;25523;32192;32100;29637;28436;30836;26681;28774;33344;29578;38306;97379;83388;97142;108847;97866;96755;103750;85561;95607;101675;86467;111996;
0861000;"Powiat m. Gorzów Wielkopolski";12;12;11;10;12;12;14;10;11;11;11;11;806;817;786;765;821;833;1014;842;886;749;962;823;56678;55793;59944;59594;67434;65159;68088;37662;48644;58716;56769;49408;101057;102612;109672;117601;134141;117386;121881;80558;95866;114667;114742;109800;
0862000;"Powiat m. Zielona Góra";19;17;23;22;26;31;31;29;27;23;23;28;1039;973;1105;1002;1043;1297;1328;1317;1346;1177;1229;1479;55491;62092;58370;58283;65493;75969;78692;38445;50552;71449;76387;80169;88144;97754;101938;97676;110634;134979;158114;87733;100581;136886;135605;135549;
1001000;"Powiat bełchatowski";19;16;15;15;14;14;15;12;10;9;9;10;1582;1322;1246;1387;1429;1425;1436;1269;893;887;980;1024;51624;49026;51493;50897;53554;57530;69620;25746;24535;41470;46649;45686;116057;114372;118135;121281;117106;125950;139686;67040;57384;103512;99686;100161;
1002000;"Powiat kutnowski";16;17;14;13;13;13;13;12;12;11;9;9;434;461;383;397;433;457;479;558;567;535;362;356;20459;22903;24846;28592;26803;26100;34945;23453;25996;33294;26117;21639;44199;56957;48921;55317;45025;44605;59093;45243;49287;69434;43651;38602;
1003000;"Powiat łaski";8;9;7;7;6;7;6;6;6;5;5;5;395;394;273;271;259;288;271;265;256;253;268;286;16160;18997;20126;19358;18039;17837;20306;10623;14193;17693;18145;19801;29604;34516;34557;32551;30504;34089;38920;23554;31202;35638;34508;36349;
1004000;"Powiat łęczycki";4;4;4;3;3;3;4;3;3;3;2;2;74;74;74;51;118;120;135;338;114;103;131;133;5737;6564;5397;7254;0;6103;7159;2361;1098;0;0;0;9452;10633;8781;9328;0;8858;10878;3963;5716;0;0;0;
1005000;"Powiat łowicki";12;11;10;11;9;9;9;7;8;7;7;7;606;412;340;374;299;290;326;279;399;289;342;342;22024;13741;11284;11485;11505;12861;14774;8514;12078;20198;19466;18329;32161;26426;23099;24922;22018;27646;27892;17679;25314;37975;37924;33131;
1006000;"Powiat łódzki wschodni";13;16;16;16;13;11;11;8;8;9;9;10;622;686;703;681;664;599;581;415;414;534;418;609;32346;31801;35160;35102;31670;25366;19352;7640;7803;16309;15905;21795;49041;45410;55657;47685;43110;35469;25524;13973;13289;23735;21322;33216;
1007000;"Powiat opoczyński";8;8;8;8;6;6;7;6;6;9;10;9;180;180;180;174;151;152;165;154;153;277;340;310;5698;6441;6614;6244;5512;5221;4854;2773;3351;7611;8706;7725;8639;8555;10579;10623;9459;8933;8415;5086;7385;16036;14085;14710;
1008000;"Powiat pabianicki";16;19;16;17;15;15;16;15;12;15;16;14;628;788;625;797;684;800;898;798;812;884;1267;1121;34905;39531;49658;56209;49904;67488;75039;35891;42634;73394;95221;92143;57732;63225;81036;85460;79360;102967;115466;59025;71305;120826;148464;140602;
1009000;"Powiat pajęczański";6;4;4;5;5;5;5;4;4;3;3;3;163;141;141;225;223;223;356;283;323;425;423;539;3908;2945;2436;2793;4092;4334;4934;3363;3101;4226;6605;6949;6381;5553;4673;9469;15124;17071;19791;14990;15434;29614;28609;27608;
1010000;"Powiat piotrkowski";24;25;24;23;23;22;22;16;17;18;17;16;1836;1749;1745;1808;1781;1691;1811;1461;1549;1520;1351;1390;80552;82300;77297;77186;78383;71027;74332;30283;37647;70101;68069;50032;131608;120619;123830;134574;137365;131946;131197;63382;81245;128718;135765;109880;
1011000;"Powiat poddębicki";15;16;16;17;18;22;22;21;17;18;19;22;592;666;829;812;866;943;1037;1294;1147;1156;1195;1448;28407;40034;49005;44531;74100;82467;57182;37781;61010;86926;88701;90555;48391;71554;105193;108555;113054;116608;124702;79128;117157;194962;190602;195536;
1012000;"Powiat radomszczański";12;11;12;14;13;12;12;10;10;9;11;11;443;410;440;547;532;417;547;510;450;517;665;612;18555;17022;19369;20245;19770;15702;23107;14622;13827;21555;27463;23960;36362;40993;41047;40219;41841;31514;45230;30913;27809;45340;53617;49631;
1013000;"Powiat rawski";7;6;6;6;6;6;7;7;6;5;4;5;1467;1433;1442;1450;561;564;1487;1505;1504;450;543;561;98095;102207;102386;81656;47419;27857;75873;32309;16969;21674;20223;20309;152078;160570;159830;138744;70939;47455;131520;61112;27085;44691;42097;47587;
1014000;"Powiat sieradzki";10;11;12;13;13;13;12;12;12;10;12;12;408;418;707;731;816;827;819;683;927;782;964;969;24236;23746;29060;29961;32039;36182;37342;15288;18556;41532;41209;30649;37597;36853;56496;58659;63286;73242;76201;28841;45908;93834;89042;60846;
1015000;"Powiat skierniewicki";2;2;2;3;3;4;4;2;4;5;6;5;106;106;106;113;119;160;138;118;147;166;176;174;1902;1692;0;0;1880;0;0;0;0;2972;3659;3236;3146;3263;0;0;4610;0;0;0;0;6278;7938;5327;
1016000;"Powiat tomaszowski";30;29;31;30;30;28;30;26;26;25;23;28;1980;1873;2061;2110;2152;2128;2166;1981;1910;1677;1799;1874;95376;95491;98156;99899;100514;107039;99464;46676;62450;83555;81365;87096;244158;240030;228355;248715;247929;266968;254376;147348;187355;230306;202993;212951;
1017000;"Powiat wieluński";22;21;20;20;19;20;15;13;13;13;14;14;1334;1401;1405;1154;1112;1087;856;795;1298;995;1359;1069;37653;35400;34520;34216;33153;33764;30586;12512;19214;24200;30459;29009;92184;88944;85121;78586;76770;80796;69695;27669;49073;73867;84352;67733;
1018000;"Powiat wieruszowski";9;11;10;9;8;8;7;5;5;5;5;7;280;274;262;259;269;250;201;158;166;166;171;363;6370;4843;6252;6602;6463;7323;5666;2057;1570;3999;5510;11195;18880;18023;15359;15736;16400;17133;13571;7874;6660;10752;11770;21281;
1019000;"Powiat zduńskowolski";12;14;14;14;12;11;9;7;7;7;7;6;720;697;722;678;470;441;346;270;270;277;293;310;12747;11739;9692;10612;14667;16456;11254;4572;4985;14501;15137;15693;31014;24617;18352;18407;26005;32393;21913;9994;9255;32933;26146;27061;
1020000;"Powiat zgierski";26;28;29;27;25;24;22;18;19;19;20;19;1557;1640;1524;1472;1245;1217;1245;1118;1142;1167;1273;1161;52613;52520;54452;64521;61077;65092;65220;28381;38788;64905;67258;56767;105208;105128;111734;112994;107378;108871;107503;51456;74814;120782;117940;95987;
1021000;"Powiat brzeziński";6;5;6;6;6;6;5;4;3;4;3;4;174;175;290;294;291;329;347;253;193;214;191;215;8060;6974;7884;7814;8325;7296;8170;2687;1923;4780;10885;12735;16189;17910;18864;15568;14303;16984;17927;8958;6156;10425;17581;20659;
1061000;"Powiat m. Łódź";67;66;65;69;67;70;67;55;55;57;58;67;7294;7229;6974;6763;7113;8235;7899;6758;6581;6839;6985;7954;442862;502937;559628;538982;592228;618726;647272;246407;323417;535321;575682;701005;725275;804619;904788;909112;1002730;1166333;1223062;552829;654152;1091494;1054588;1134329;
1062000;"Powiat m. Piotrków Trybunalski";11;11;9;10;9;10;8;7;7;5;6;9;585;613;567;590;575;678;559;510;518;290;526;503;20696;19015;20695;25751;28434;34457;32311;13005;13454;16688;20191;34415;31834;31295;34947;39043;43344;51581;53554;23233;23318;25595;37387;60386;
1063000;"Powiat m. Skierniewice";2;2;2;1;1;1;1;1;1;2;2;2;89;89;89;48;48;48;48;48;48;104;104;104;5156;5062;0;0;0;0;0;0;0;0;0;0;8453;8201;0;0;0;0;0;0;0;0;0;0;
1201000;"Powiat bocheński";17;19;20;21;19;17;17;12;12;11;12;11;1154;1332;1397;1454;1390;1350;1317;713;938;989;977;1075;51553;59673;55698;57400;64726;62145;76653;27308;34941;53449;52488;55018;86494;93560;94230;95848;106679;110481;125521;63515;71903;95500;85616;97026;
1202000;"Powiat brzeski";10;11;12;12;10;10;9;8;8;10;9;10;556;534;567;585;506;505;468;407;423;574;458;599;28543;26533;22063;23174;21091;20746;19448;0;10289;0;0;26972;45380;41307;36190;40894;36188;37141;37363;0;19645;0;0;54131;
1203000;"Powiat chrzanowski";6;5;6;6;6;6;7;6;5;6;5;4;215;200;238;238;239;223;237;228;226;254;239;191;3827;3551;5165;4919;5699;6231;6101;2585;3697;4994;5120;3951;4871;5421;8335;8134;8962;9963;9543;3731;5289;7700;8965;5991;
1204000;"Powiat dąbrowski";4;4;4;4;4;3;3;2;3;2;2;3;118;118;118;118;118;120;120;60;167;80;188;108;3097;3589;2439;2328;2187;2538;2744;0;2182;0;0;3389;4380;6741;4500;4887;4544;5885;5781;0;5102;0;0;6318;
1205000;"Powiat gorlicki";28;30;36;35;32;31;33;28;31;32;32;33;1396;1387;1706;1602;1468;1521;1525;1537;1721;1583;1646;1803;34783;35082;30006;35676;37040;36945;38446;20902;25521;34655;37521;39501;205350;225051;216332;214265;215992;218980;227059;105976;162454;224479;236971;273480;
1206000;"Powiat krakowski";28;29;31;34;36;35;35;33;34;35;36;35;1455;1456;1903;2023;1987;1922;1916;1755;2094;2236;2476;2283;71832;72879;106345;146176;143934;142607;144482;55754;83165;174664;249440;245943;117702;119407;171559;239317;236343;227773;234010;96667;146234;287474;361813;342301;
1207000;"Powiat limanowski";35;35;33;38;39;34;36;28;32;31;28;28;1596;1537;1539;1799;1875;1755;1839;1477;1632;1441;1338;1405;24882;23702;25523;35553;40782;41884;44726;21597;27165;34039;34678;31693;70445;65822;71515;98899;115986;117665;130331;68514;86478;95441;93715;95583;
1208000;"Powiat miechowski";2;2;4;6;6;6;6;5;5;5;6;6;245;245;340;568;497;501;501;458;503;457;502;519;10872;9908;13095;31075;31017;34257;34108;16174;21424;32421;32949;34586;15355;14064;21754;62000;61083;67704;70786;36981;43004;65997;65537;68621;
1209000;"Powiat myślenicki";14;20;22;24;25;24;24;19;23;18;20;18;723;1056;1072;1179;1211;1112;1144;929;1334;1193;1149;1037;17952;25932;29217;36765;39384;38633;38671;18569;27095;41623;44078;42499;41428;56771;59390;78056;79003;69175;73598;33809;51006;81177;81787;80237;
1210000;"Powiat nowosądecki";158;162;173;174;183;182;167;153;154;148;147;148;11717;12503;12739;13050;13485;13277;13121;12478;12325;12548;12937;12889;283319;291666;350551;395670;423511;439760;436495;239952;290923;419965;447726;469157;1589417;1654998;1806093;2002696;2071641;2118088;2149943;1103474;1451225;2042728;2064929;2111224;
1211000;"Powiat nowotarski";199;197;213;217;221;211;215;187;186;175;183;176;8510;8168;9191;9483;9939;9787;9982;9433;9615;9139;9138;9124;177150;176258;195579;237422;268550;288858;305695;175036;226397;325547;327281;327403;745804;774371;830557;947246;988098;1047567;1069977;611709;796807;1109484;1116366;1063673;
1212000;"Powiat olkuski";10;7;11;9;10;11;12;11;11;11;11;10;321;208;398;359;391;413;462;442;426;387;405;419;11353;9601;10846;11429;12154;14541;13735;8232;10968;12935;15048;14310;29496;20597;27674;29535;34844;38848;33322;21320;28288;31930;35702;32996;
1213000;"Powiat oświęcimski";12;13;13;14;16;18;20;19;18;25;27;26;871;1008;1020;1079;1439;1644;1721;1695;1882;2609;2694;2827;38185;42412;52889;59871;67114;89932;92367;42367;71328;113138;124943;143828;84437;94917;107575;120993;138702;174801;175811;77782;139300;230360;257875;295538;
1214000;"Powiat proszowicki";5;5;5;5;5;5;5;5;4;3;4;4;260;260;257;166;166;166;154;154;242;113;135;139;12872;12056;9399;7119;6082;7316;8532;2693;6527;5146;4415;4411;18318;15135;11821;11008;10568;12671;14029;4162;13892;10505;8933;9377;
1215000;"Powiat suski";38;36;37;37;37;36;39;34;33;30;29;30;1685;1621;1811;2051;1997;2227;2133;2061;1970;1668;1747;1953;33859;34298;43102;56807;61301;64258;67659;34009;41740;59071;63509;68091;105205;101947;129916;159521;177461;185122;204736;114726;123488;173844;187287;196006;
1216000;"Powiat tarnowski";14;14;15;16;19;19;20;17;17;18;18;16;626;585;638;829;1024;1045;987;923;927;921;877;809;21709;20170;20148;28936;35549;36953;38604;21016;28034;39046;31757;27562;39881;37447;57095;76704;97298;94883;92402;51208;63133;91490;68080;59318;
1217000;"Powiat tatrzański";517;529;508;511;525;518;549;488;476;441;437;440;22408;23185;23307;24034;25430;25918;27991;27006;27440;26208;26230;26024;632589;664993;699856;819730;939027;1029721;1159599;725237;862276;1240014;1265774;1320461;2158491;2204683;2257366;2618559;2953270;3201319;3494720;2316624;2610451;3604687;3582522;3657752;
1218000;"Powiat wadowicki";22;22;21;21;23;24;24;24;23;20;21;20;1704;1898;1920;1989;2207;2512;2521;2511;2423;2065;2034;1775;80938;100602;121948;129828;112687;121609;122751;52298;81684;120523;112226;99746;140635;169789;201234;233457;212539;224668;227534;112768;160550;244819;243167;215337;
1219000;"Powiat wielicki";22;24;24;24;26;26;27;22;20;22;21;20;1060;1275;1332;1474;1691;1788;1856;1499;1529;1418;1398;1388;62711;78852;94195;99850;114572;125966;134014;50018;58419;111090;112810;110095;99277;122050;146352;171405;195777;222510;251116;93623;113499;205224;211318;195196;
1261000;"Powiat m. Kraków";236;234;240;257;266;270;275;238;243;251;253;309;25891;27330;27581;30096;31022;31861;33601;28153;29997;30532;32054;35805;1901980;1996404;2122091;2277582;2389414;2513799;2727247;818197;1228178;2263653;2647530;3003211;3969886;4247477;4573896;4999278;5270648;5579275;6082877;1820788;2635038;4887757;5741775;6526485;
1262000;"Powiat m. Nowy Sącz";7;7;8;11;12;12;10;10;8;8;8;7;453;452;350;477;576;579;523;534;489;506;435;405;21959;18590;22784;31227;35904;39230;35344;17168;20431;30412;27791;25262;38652;30324;35252;50912;60583;68258;62659;32593;37932;62788;54447;49140;
1263000;"Powiat m. Tarnów";13;13;12;13;12;12;13;13;13;11;10;10;833;850;880;888;772;839;802;1021;995;933;829;941;41529;41687;42085;48761;49653;49423;50064;28449;32831;52412;48626;46806;67984;64282;74201;90540;89504;85993;82396;48729;58512;84292;79054;70692;
1401000;"Powiat białobrzeski";4;4;5;5;5;5;5;5;6;4;4;4;88;88;106;111;112;182;174;180;178;144;150;163;3683;3258;3809;5326;6010;11369;5423;2610;4679;5223;8490;11623;4687;4942;5159;8958;9320;19959;13822;9163;12248;14010;17587;19466;
1402000;"Powiat ciechanowski";9;9;9;11;10;11;11;10;10;10;9;9;321;378;396;687;557;594;611;507;527;441;419;433;9557;10855;10919;44464;30593;31475;31942;15241;18567;29904;28404;28467;19450;30125;27262;78330;56873;61812;61322;39406;45174;56618;50493;46628;
1403000;"Powiat garwoliński";13;12;13;12;12;15;15;15;13;13;15;16;798;769;787;790;813;1215;1161;1236;1123;1072;1198;1455;23478;25795;27819;28159;31121;53135;56200;28038;35477;51803;55668;67749;47020;50942;49876;50750;60478;99311;110496;57682;73446;102040;99163;116347;
1404000;"Powiat gostyniński";2;2;2;2;2;6;7;7;6;5;6;6;137;137;137;137;137;328;358;428;297;203;194;325;2314;1845;0;0;0;4063;6947;4989;5436;3726;4284;9896;4336;4663;0;0;0;10786;20749;18110;15444;10211;10521;23171;
1405000;"Powiat grodziski";6;7;9;11;10;9;10;10;10;10;7;8;263;275;463;737;718;588;621;669;690;671;648;666;13887;14518;21419;62049;64538;52468;52734;22911;34751;60529;57563;65939;20723;22074;30177;98416;101997;82993;86767;39063;57115;100363;91108;103430;
1406000;"Powiat grójecki";10;11;10;11;14;15;17;17;16;17;18;17;343;379;367;457;657;640;783;784;852;841;997;988;28249;27684;29570;31636;39474;32931;39988;23640;34754;62103;77751;82742;40706;39746;45388;51500;66823;52438;63281;42384;59309;95996;118526;129174;
1407000;"Powiat kozienicki";7;8;8;9;8;10;10;9;9;8;8;8;404;485;519;558;526;566;567;575;583;524;512;506;7157;14763;18155;19649;19764;18228;17545;9127;9621;10999;12860;13204;23884;40324;52183;56189;50511;49613;50691;27555;30223;44735;49041;58953;
1408000;"Powiat legionowski";20;19;18;23;24;29;27;23;21;21;21;20;3264;3294;3289;3760;3829;4194;4073;3565;3226;3168;3009;3174;202426;214304;225670;273342;295106;306982;294940;93567;121369;208558;225928;225850;318533;327807;339744;422881;450063;475027;468092;171889;214166;327923;359431;356224;
1409000;"Powiat lipski";2;2;3;2;2;2;1;1;2;0;3;2;75;65;92;58;58;58;40;40;80;0;98;55;214;270;431;0;0;0;0;0;0;0;952;0;604;913;2090;0;0;0;0;0;0;0;2926;0;
1410000;"Powiat łosicki";13;13;13;12;12;12;13;9;10;9;9;9;1298;1287;1289;1083;1116;1116;1171;971;1015;928;925;903;8979;7526;10290;8737;8264;7881;9252;3084;3350;2603;3117;2678;26133;26061;29756;25284;23134;25552;25094;7176;14135;10174;10947;8854;
1411000;"Powiat makowski";4;3;3;3;3;6;6;6;6;5;5;5;108;83;84;84;68;195;193;198;317;182;182;193;1181;917;896;910;1028;8517;11039;5918;7317;11216;9954;10576;3251;2400;2447;2605;3052;15065;17751;10152;11426;16247;14959;15906;
1412000;"Powiat miński";13;12;11;13;12;13;13;13;11;10;11;11;828;581;559;615;602;760;665;659;609;427;603;623;23405;21078;21904;26349;26932;33235;28524;16236;14226;17480;19112;17284;61045;56616;63450;73729;75113;87219;80424;51433;37047;47795;42368;40178;
1413000;"Powiat mławski";4;4;3;3;4;5;5;5;5;4;3;3;153;126;102;102;235;282;286;289;324;281;133;138;4082;4327;0;0;27821;21988;22673;9913;13312;23157;3658;4332;9890;9939;0;0;48533;40627;43799;22226;29020;44311;8819;10721;
1414000;"Powiat nowodworski";11;14;14;14;14;14;14;13;12;12;12;12;670;768;763;819;739;850;808;710;703;715;788;817;17167;24836;32936;32950;39096;41714;49143;20721;28042;55778;59398;52005;34569;41375;54209;51786;55758;59500;78587;34148;46095;78375;86912;85128;
1415000;"Powiat ostrołęcki";6;4;5;5;7;8;8;6;6;6;6;6;170;145;194;203;269;297;282;242;248;248;248;243;7793;8350;8402;8874;9958;10322;10827;4500;5282;8781;7816;9283;13001;12685;11937;14726;17005;17416;20546;7067;8629;15930;14273;17658;
1416000;"Powiat ostrowski";6;6;6;5;5;5;5;5;5;5;5;4;344;346;371;297;300;360;360;360;360;359;359;349;10525;9922;11427;8931;9132;9667;9332;4800;5412;6449;5380;0;27435;27285;32844;24055;24043;25943;20131;9572;12493;19733;12552;0;
1417000;"Powiat otwocki";10;10;10;12;12;13;14;14;11;11;10;12;881;862;854;1074;1086;1093;1119;1197;1041;1186;1037;1254;66120;72775;75516;92864;94631;97860;97644;44516;60313;97666;92217;98126;86333;94800;104995;136115;131886;141564;143966;80475;86104;135780;127033;138289;
1418000;"Powiat piaseczyński";21;19;20;23;21;24;26;25;25;25;22;22;846;861;868;1126;1211;1668;1845;1835;1795;1720;1697;1724;44553;50657;53637;84899;87376;99575;104519;52779;58981;108875;106446;114649;79069;86882;93362;139584;156872;230100;250498;150179;169301;257438;236651;227602;
1419000;"Powiat płocki";21;19;18;16;16;15;13;12;11;13;14;12;1320;1063;944;861;948;810;762;720;809;552;596;659;34434;27083;23894;22528;26097;26402;28300;10344;18582;18980;17673;16147;62804;60006;51312;54633;64062;58721;54132;28403;44655;34928;31356;29295;
1420000;"Powiat płoński";8;9;10;10;10;9;9;7;5;8;8;9;408;473;480;467;432;462;442;411;333;408;390;441;19249;31671;36342;37408;39122;43269;44457;27229;29623;41436;39203;39566;28794;44880;45599;45423;46524;50650;52908;34088;38240;55912;48735;51029;
1421000;"Powiat pruszkowski";21;20;21;21;23;31;32;30;26;26;22;23;1059;1050;1225;1263;1317;1772;1861;1873;1724;1625;1428;1753;65687;74884;89446;121016;125112;126267;119996;58843;62378;110342;119217;147313;116401;136327;157207;202525;201151;213604;219464;116675;117686;193292;199723;233242;
1422000;"Powiat przasnyski";5;4;5;5;5;4;5;4;4;4;4;2;77;67;83;83;89;75;90;75;70;67;68;48;5560;5076;5672;5485;5551;5165;0;2983;3376;5445;4641;0;8777;8334;9178;8753;9067;7887;0;4380;4501;7053;7530;0;
1423000;"Powiat przysuski";3;3;3;5;5;5;5;4;5;4;2;3;211;211;211;250;270;398;407;440;498;466;301;341;2374;2592;0;2867;2971;10767;13565;7310;12294;19918;0;5987;8334;10460;0;15743;17523;38033;47036;29646;47224;63151;0;39842;
1424000;"Powiat pułtuski";3;3;3;3;2;2;2;2;2;3;2;2;233;233;235;235;247;249;272;275;279;150;129;219;10851;10180;9280;9557;0;0;0;0;0;0;0;0;23742;19818;24711;25173;0;0;0;0;0;0;0;0;
1425000;"Powiat radomski";11;11;13;14;14;13;13;10;9;11;11;11;355;362;410;489;521;617;484;416;315;423;430;535;9077;8903;9698;14542;17433;23787;17703;9107;6858;11960;11678;16422;13492;12112;13557;20653;26208;38854;29274;20648;13142;24059;25807;35889;
1426000;"Powiat siedlecki";6;6;6;6;6;6;7;6;4;5;5;5;176;179;176;179;179;173;200;189;123;141;300;366;6684;5871;6523;6474;6590;7437;7313;2658;1486;11433;23166;26025;11554;10104;11142;11408;11563;12593;12918;6276;6176;25530;44144;43990;
1427000;"Powiat sierpecki";7;6;6;5;5;5;4;4;4;4;4;4;177;172;324;151;146;273;261;265;285;277;288;296;6101;6713;0;0;0;15750;21861;10778;15243;24650;26213;26957;6755;8635;0;0;0;35453;34521;16300;23341;39217;39127;40707;
