"Kod";"Nazwa";"ogółem w ha;2013;[ha]";"ogółem w ha;2014;[ha]";"ogółem w ha;2015;[ha]";"ogółem w ha;2016;[ha]";"ogółem w ha;2017;[ha]";"ogółem w ha;2018;[ha]";"ogółem w ha;2019;[ha]";"ogółem w ha;2020;[ha]";"ogółem w ha;2021;[ha]";"ogółem w ha;2022;[ha]";"ogółem w ha;2023;[ha]";"ogółem w ha;2024;[ha]";
1432000;"Powiat warszawski zachodni";53379;53379;53379;53379;53379;53379;53379;53379;53379;53378;53379;53379;
1433000;"Powiat węgrowski";122076;122076;122076;122076;122076;122076;122076;122076;122076;122001;122075;122075;
1434000;"Powiat wołomiński";95397;95356;95356;95356;95356;95356;95356;95356;95356;95367;95367;95367;
1435000;"Powiat wyszkowski";87643;87643;87643;87643;87643;87643;87643;87643;87643;87739;87665;87665;
1436000;"Powiat zwoleński";57330;57330;57330;57330;57330;57330;57330;57330;57330;57300;57300;57300;
1437000;"Powiat żuromiński";80660;80660;80660;80660;80660;80660;80660;80660;80660;80661;80661;80661;
1438000;"Powiat żyrardowski";53254;53254;53254;53254;53254;53254;53254;53254;53254;53254;53254;53254;
1461000;"Powiat m. Ostrołęka";2863;2863;2863;2863;2863;3346;3346;3346;3346;3346;3346;3346;
1462000;"Powiat m. Płock";8804;8804;8804;8804;8804;8804;8804;8804;8804;8804;8804;8804;
1463000;"Powiat m. Radom";11180;11180;11180;11180;11180;11180;11180;11180;11180;11180;11180;11180;
1464000;"Powiat m. Siedlce";3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;3186;
1465000;"Powiat m. st. Warszawa";51724;51724;51724;51724;51724;51724;51724;51724;51724;51720;51720;51720;
1601000;"Powiat brzeski";87596;87596;87596;87596;87596;87596;87596;87596;87596;87604;87603;87608;
1602000;"Powiat głubczycki";67263;67263;67263;67263;67263;67263;67263;67263;67263;67266;67266;67266;
1603000;"Powiat kędzierzyńsko-kozielski";62513;62513;62513;62513;62513;62513;62513;62513;62513;62513;62513;62513;
1604000;"Powiat kluczborski";85191;85191;85191;85191;85191;85191;85191;85191;85191;85183;85183;85183;
1605000;"Powiat krapkowicki";44180;44180;44180;44180;44180;44180;44180;44180;44180;44185;44187;44187;
1606000;"Powiat namysłowski";74818;74818;74818;74818;74818;74818;74818;74818;74818;74798;74798;74798;
1607000;"Powiat nyski";122388;122388;122388;122388;122388;122388;122388;122388;122388;122395;122394;122389;
1608000;"Powiat oleski";97338;97338;97338;97338;97338;97338;97338;97338;97338;97338;97339;97339;
1609000;"Powiat opolski";158663;158663;158663;158663;153430;153430;153430;153430;153430;153415;153415;153415;
