"Kod";"Nazwa";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0602000;"Powiat biłgorajski";;64845,3;64904,4;64970,1;65043,3;64967,9;65059,0;65351,0;65391,2;65510,4;66330,6;66360,8;66570,2;66593,6;65707,44;65911,06;65956,27;66288,89;66451,58;66485,84;66536,94;66565,86;66860,86;66922,37;66930,12;66881,53;
0603000;"Powiat chełmski";;32651,3;30957,2;30936,8;30998,6;30889,7;30939,2;33789,4;34201,7;34354,4;34596,9;34596,2;34990,3;35065,3;35109,42;35445,59;35491,56;35636,08;35712,77;35859,93;35824,52;35936,34;36152,86;36311,85;36346,70;36438,23;
0604000;"Powiat hrubieszowski";;16801,0;16805,2;16783,1;16796,5;16781,9;16787,7;16787,3;16796,5;16795,7;16795,6;16813,3;16830,7;16844,4;16860,81;16862,83;16881,61;16888,97;16893,58;16894,89;16898,19;16909,21;16921,85;16935,54;16995,66;17005,03;
0605000;"Powiat janowski";;35260,4;35484,9;35617,7;35619,8;35674,6;35987,0;36110,7;36101,8;36113,2;36109,2;36119,3;36073,3;36102,7;36111,51;36174,08;36162,51;36612,30;36627,27;36396,76;36343,31;36342,63;36368,52;36379,72;36381,86;36395,63;
0606000;"Powiat krasnostawski";;16379,4;18263,0;18301,2;18321,2;18294,8;18361,0;15680,5;15780,1;15787,0;15790,0;15825,3;15839,3;15862,8;15831,23;15967,77;15978,56;15990,32;16006,59;16024,11;16039,63;16052,01;16020,43;16138,13;16149,34;16134,28;
0607000;"Powiat kraśnicki";;20140,3;20139,7;20306,3;20529,3;20535,6;21011,2;21198,8;21309,4;21326,0;21318,0;21405,8;21421,6;21478,7;21518,55;21492,89;21579,02;21661,36;21762,06;21765,09;21750,95;21769,20;21652,71;21556,95;21437,78;21614,32;
0608000;"Powiat lubartowski";;25609,6;26798,1;26902,3;27020,7;26800,0;26991,3;27015,7;27460,4;27654,0;27796,5;27776,9;27802,0;27656,6;27816,99;27949,97;27831,48;27722,17;27675,22;27739,66;27247,22;27280,06;27353,17;27449,79;27451,08;27617,58;
0609000;"Powiat lubelski";;16846,7;16897,5;17021,8;17068,9;17130,3;17042,6;17052,3;17160,1;17160,4;17163,4;17162,0;17078,4;17226,2;17229,23;17313,78;17551,08;17578,74;17485,45;17483,92;17484,94;17487,40;17476,17;17604,48;17611,28;17612,02;
0610000;"Powiat łęczyński";;8187,7;8184,6;8180,2;8560,7;8456,4;8480,0;8455,6;8463,6;8458,0;8765,4;8799,5;8724,7;8781,7;8877,43;8858,56;8857,80;8860,42;8864,52;8870,36;8987,89;8968,31;8967,58;8844,48;8861,51;8842,57;
0611000;"Powiat łukowski";;29610,4;29740,6;30074,6;30341,2;30341,8;30173,4;30522,9;30665,7;30773,4;31238,0;32444,8;32440,5;32463,7;32550,92;32719,48;32810,30;32894,45;32929,05;32938,20;31060,00;31338,17;31540,78;31538,00;31603,19;31574,16;
