Kod;Nazwa;Rzeczywiste_2024;Prognoza_WG_2024;Roznica
2204000;Gdański;188003.0;159081;-28922.0
2205000;Kartuski;242281.0;239031;-3250.0
2206000;Kościerski;299125.0;325322;26197.0
2207000;Kwidzyński;52570.0;38320;-14250.0
2208000;Lęborski;672903.0;707280;34377.0
2209000;Malborski;69604.0;59815;-9789.0
2210000;Nowodworski;810826.0;750809;-60017.0
2211000;Pucki;1774773.0;1756240;-18533.0
2212000;Słupski;1201748.0;1212537;10789.0
2213000;Starogardzki;108853.0;95022;-13831.0
2214000;Tczewski;67782.0;68998;1216.0
2215000;Wejherowski;198764.0;215411;16647.0
2216000;Sztumski;11261.0;6941;-4320.0
2261000;M. Gdańsk;3362653.0;3509361;146708.0
2262000;M. Gdynia;451941.0;497551;45610.0
2263000;M. Słupsk;39523.0;52088;12565.0
2264000;M. Sopot;1031525.0;1007886;-23639.0
2401000;Będziński;100080.0;104962;4882.0
2402000;Bielski;573045.0;551597;-21448.0
2403000;Cieszyński;2037480.0;2139853;102373.0
2404000;Częstochowski;24684.0;23053;-1631.0
2405000;Gliwicki;48934.0;57164;8230.0
2406000;Kłobucki;37552.0;32938;-4614.0
2407000;Lubliniecki;75375.0;71453;-3922.0
2408000;Mikołowski;0.0;10486;10486.0
2409000;Myszkowski;55558.0;63688;8130.0
2410000;Pszczyński;78175.0;71789;-6386.0
2411000;Raciborski;78569.0;72499;-6070.0
2412000;Rybnicki;28758.0;26961;-1797.0
2413000;Tarnogórski;102224.0;108488;6264.0
2414000;Bieruńsko-Lędziński;0.0;5701;5701.0
2415000;Wodzisławski;30804.0;32917;2113.0
2416000;Zawierciański;177395.0;209342;31947.0
2417000;Żywiecki;363266.0;397934;34668.0
2461000;M. Bielsko-Biała;222233.0;236062;13829.0
2462000;M. Bytom;113377.0;109641;-3736.0
2463000;M. Chorzów;94479.0;95926;1447.0
2464000;M. Częstochowa;269715.0;295552;25837.0
2465000;M. Dąbrowa Górnicza;79997.0;89680;9683.0
2466000;M. Gliwice;238032.0;253301;15269.0
2467000;M. Jastrzębie-Zdrój;18995.0;20340;1345.0
2468000;M. Jaworzno;56289.0;58770;2481.0
2469000;M. Katowice;776796.0;827544;50748.0
2470000;M. Mysłowice;0.0;5396;5396.0
2471000;M. Piekary Śląskie;28603.0;45544;16941.0
2472000;M. Ruda Śląska;0.0;37532;37532.0
2473000;M. Rybnik;40394.0;37133;-3261.0
2474000;M. Siemianowice Śląskie;23883.0;14586;-9297.0
2475000;M. Sosnowiec;77638.0;87803;10165.0
2476000;M. Świętochłowice;0.0;6431;6431.0
2477000;M. Tychy;86438.0;101865;15427.0
2478000;M. Zabrze;115475.0;113965;-1510.0
2479000;M. Żory;28678.0;37731;9053.0
2601000;Buski;843134.0;775094;-68040.0
2602000;Jędrzejowski;35572.0;40179;4607.0
2603000;Kazimierski;14311.0;7272;-7039.0
2604000;Kielecki;311708.0;326457;14749.0
2605000;Konecki;54866.0;55362;496.0
2606000;Opatowski;26321.0;20678;-5643.0
2607000;Ostrowiecki;55558.0;53975;-1583.0
